identifier,url,brightness,contrast
pressbook-wb-california-mail,https://archive.org/download/pressbook-wb-california-mail/page/n0_w250.jpg,178.7809752839481,70.93485506612727
pressbook-wb-call-it-a-day,https://archive.org/download/pressbook-wb-call-it-a-day/page/n0_w250.jpg,131.83674604776917,58.57532715642688
pressbook-wb-calling-all-husbands,https://archive.org/download/pressbook-wb-calling-all-husbands/page/n0_w250.jpg,203.14131917937627,66.58294532097447
pressbook-wb-calling-philo-vance,https://archive.org/download/pressbook-wb-calling-philo-vance/page/n0_w250.jpg,121.41040167696696,73.64123631790865
pressbook-wb-captain-blood,https://archive.org/download/pressbook-wb-captain-blood/page/n0_w250.jpg,146.29012834544267,61.288189978286944
pressbook-wb-captain-thunder,https://archive.org/download/pressbook-wb-captain-thunder/page/n0_w250.jpg,165.46975108330128,79.28561369371329
pressbook-wb-captured,https://archive.org/download/pressbook-wb-captured/page/n0_w250.jpg,159.62210008250835,76.1817215346624
pressbook-wb-casablanca,https://archive.org/download/pressbook-wb-casablanca/page/n0_w250.jpg,207.70216054627147,63.15918946108044
pressbook-wb-cash-mccall,https://archive.org/download/pressbook-wb-cash-mccall/page/n0_w250.jpg,218.4192994263318,49.831403030904475
pressbook-wb-castle-on-the-hudson,https://archive.org/download/pressbook-wb-castle-on-the-hudson/page/n0_w250.jpg,145.2660092250244,59.976575663146484
pressbook-wb-ceiling-zero,https://archive.org/download/pressbook-wb-ceiling-zero/page/n0_w250.jpg,129.06746522432815,80.10882543967307
pressbook-wb-central-airport,https://archive.org/download/pressbook-wb-central-airport/page/n0_w250.jpg,162.59789172345882,59.13436070111175
pressbook-wb-central-park,https://archive.org/download/pressbook-wb-central-park/page/n0_w250.jpg,171.3238895918021,73.80002713772753
pressbook-wb-chain-lightning,https://archive.org/download/pressbook-wb-chain-lightning/page/n0_w250.jpg,192.16993536359658,65.4660169338148
pressbook-wb-chances,https://archive.org/download/pressbook-wb-chances/page/n0_w250.jpg,167.7376946885195,44.46208845127075
pressbook-wb-cherokee-strip,https://archive.org/download/pressbook-wb-cherokee-strip/page/n0_w250.jpg,175.5541958346138,82.09327741304575
pressbook-wb-cheyenne,https://archive.org/download/pressbook-wb-cheyenne/page/n0_w250.jpg,133.80052949545603,61.6411029705597
pressbook-wb-cheyenne-autumn,https://archive.org/download/pressbook-wb-cheyenne-autumn/page/n0_w250.jpg,185.83447113526543,74.49923012201685
pressbook-wb-china-clipper,https://archive.org/download/pressbook-wb-china-clipper/page/n0_w250.jpg,112.79937496154018,69.72119533873884
pressbook-wb-cinderella-jones,https://archive.org/download/pressbook-wb-cinderella-jones/page/n0_w250.jpg,185.23716515783298,59.57164448133269
pressbook-wb-city-for-conquest,https://archive.org/download/pressbook-wb-city-for-conquest/page/n0_w250.jpg,115.2786235053694,76.92212199074767
pressbook-wb-code-of-the-secret-service,https://archive.org/download/pressbook-wb-code-of-the-secret-service/page/n0_w250.jpg,134.7545591273607,42.55293886154002
pressbook-wb-colleen,https://archive.org/download/pressbook-wb-colleen/page/n0_w250.jpg,132.46019009995896,56.25971051500553
pressbook-wb-college-coach,https://archive.org/download/pressbook-wb-college-coach/page/n0_w250.jpg,153.06720472410578,39.91147361153793
pressbook-wb-colorado-territory,https://archive.org/download/pressbook-wb-colorado-territory/page/n0_w250.jpg,180.8415763703217,69.41138450976153
pressbook-wb-comet-over-broadway,https://archive.org/download/pressbook-wb-comet-over-broadway/page/n0_w250.jpg,142.68155182866903,73.48969685753956
pressbook-wb-confession,https://archive.org/download/pressbook-wb-confession/page/n0_w250.jpg,146.27977224489825,79.09461629688589
pressbook-wb-confessions-of-a-nazi-spy,https://archive.org/download/pressbook-wb-confessions-of-a-nazi-spy/page/n0_w250.jpg,134.9586656682008,75.7456136032507
pressbook-wb-confidential-agent,https://archive.org/download/pressbook-wb-confidential-agent/page/n0_w250.jpg,94.09608773791324,62.929016357372916
pressbook-wb-conflict,https://archive.org/download/pressbook-wb-conflict/page/n0_w250.jpg,172.02435483893038,69.52750899096323
pressbook-wb-convention-city,https://archive.org/download/pressbook-wb-convention-city/page/n0_w250.jpg,169.92156841777208,50.05606017172542
pressbook-wb-cowboy-from-brooklyn,https://archive.org/download/pressbook-wb-cowboy-from-brooklyn/page/n0_w250.jpg,138.96007042053424,79.81754864460582
pressbook-wb-crime-by-night,https://archive.org/download/pressbook-wb-crime-by-night/page/n0_w250.jpg,200.31583529937518,47.32228606246726
pressbook-wb-crime-school,https://archive.org/download/pressbook-wb-crime-school/page/n0_w250.jpg,187.59167716452467,63.731420184033986
pressbook-wb-crooner,https://archive.org/download/pressbook-wb-crooner/page/n0_w250.jpg,141.3487713379739,40.494142914350384
pressbook-wb-cry-wolf,https://archive.org/download/pressbook-wb-cry-wolf/page/n0_w250.jpg,98.75409623592977,75.8969675006224
pressbook-wb-dames,https://archive.org/download/pressbook-wb-dames/page/n0_w250.jpg,194.7770820763597,38.18438455054147
pressbook-wb-dance-charlie-dance,https://archive.org/download/pressbook-wb-dance-charlie-dance/page/n0_w250.jpg,205.72784994557344,55.6025349099416
pressbook-wb-dancing-sweeties,https://archive.org/download/pressbook-wb-dancing-sweeties/page/n0_w250.jpg,173.60454104660872,56.19764781531509
pressbook-wb-danger-signal,https://archive.org/download/pressbook-wb-danger-signal/page/n0_w250.jpg,99.78529673319699,65.45913326838809
pressbook-wb-dangerous,https://archive.org/download/pressbook-wb-dangerous/page/n0_w250.jpg,153.43171966380612,60.37232084814162
pressbook-wb-dangerously-they-live,https://archive.org/download/pressbook-wb-dangerously-they-live/page/n0_w250.jpg,124.79775486551151,74.91879005740213
pressbook-wb-daredevil-drivers,https://archive.org/download/pressbook-wb-daredevil-drivers/page/n0_w250.jpg,202.59811076491883,55.55156264436234
pressbook-wb-dark-hazard,https://archive.org/download/pressbook-wb-dark-hazard/page/n0_w250.jpg,141.955667588931,62.12041666846608
pressbook-wb-dark-horse,https://archive.org/download/pressbook-wb-dark-horse/page/n0_w250.jpg,176.62642749086393,59.78025228280344
pressbook-wb-dark-passage,https://archive.org/download/pressbook-wb-dark-passage/page/n0_w250.jpg,107.94862153287595,66.3047591121217
pressbook-wb-dark-victory,https://archive.org/download/pressbook-wb-dark-victory/page/n0_w250.jpg,147.46235272177836,70.44371918382996
pressbook-wb-daughters-courageous,https://archive.org/download/pressbook-wb-daughters-courageous/page/n0_w250.jpg,148.81852576735858,56.30693980030609
pressbook-wb-deception,https://archive.org/download/pressbook-wb-deception/page/n0_w250.jpg,222.11641533683792,51.10877545095004
pressbook-wb-deep-valley,https://archive.org/download/pressbook-wb-deep-valley/page/n0_w250.jpg,114.80385497829403,55.437343914098186
pressbook-wb-desirable,https://archive.org/download/pressbook-wb-desirable/page/n0_w250.jpg,102.47425118216539,59.490944761153976
pressbook-wb-desperate-journey,https://archive.org/download/pressbook-wb-desperate-journey/page/n0_w250.jpg,148.05056570081254,74.60947777088292
pressbook-wb-destination-tokyo,https://archive.org/download/pressbook-wb-destination-tokyo/page/n0_w250.jpg,209.0833892680965,57.86217285378234
pressbook-wb-devil-dogs-of-the-air,https://archive.org/download/pressbook-wb-devil-dogs-of-the-air/page/n0_w250.jpg,194.9166756777831,69.32626737381129
pressbook-wb-devils-island,https://archive.org/download/pressbook-wb-devils-island/page/n0_w250.jpg,107.34266842688787,63.523841851870905
pressbook-wb-devils-saddle-legion,https://archive.org/download/pressbook-wb-devils-saddle-legion/page/n0_w250.jpg,169.27103114270244,59.02712850969974
pressbook-wb-devotion,https://archive.org/download/pressbook-wb-devotion/page/n0_w250.jpg,127.53976593959169,60.33105580222129
pressbook-wb-dinky,https://archive.org/download/pressbook-wb-dinky/page/n0_w250.jpg,163.0932657259841,68.49661407213895
pressbook-wb-dive-bomber,https://archive.org/download/pressbook-wb-dive-bomber/page/n0_w250.jpg,160.96591328099078,81.75778884517358
pressbook-wb-divorce-among-friends,https://archive.org/download/pressbook-wb-divorce-among-friends/page/n0_w250.jpg,167.1277831045912,57.311210760319916
pressbook-wb-doctor-x,https://archive.org/download/pressbook-wb-doctor-x/page/n0_w250.jpg,160.66601288111502,44.896449498334505
pressbook-wb-dodge-city,https://archive.org/download/pressbook-wb-dodge-city/page/n0_w250.jpg,108.866260167645,53.762312883595655
pressbook-wb-dodge-city-and-virginia-city,https://archive.org/download/pressbook-wb-dodge-city-and-virginia-city/page/n0_w250.jpg,207.94922244579192,59.35178324439164
pressbook-wb-dont-bet-on-blondes,https://archive.org/download/pressbook-wb-dont-bet-on-blondes/page/n0_w250.jpg,151.67831600742508,45.03919621482931
pressbook-wb-down-the-stretch,https://archive.org/download/pressbook-wb-down-the-stretch/page/n0_w250.jpg,155.80731377185396,83.30913683209137
